Updated 03/13/26 at 11:32pm,Position Rank,Position,Team,Value,Age,Rookie,SFPosition Rank,SFValue
Kalel Mullings,RB102,RB,TEN,1466,23.4,No,RB102,1179
Mack Hollins,WR146,WR,NEP,1461,32.5,No,WR143,1242
Aaron Rodgers,QB43,QB,PIT,1455,42.3,No,QB46,1801
Rasheen Ali,RB103,RB,BAL,1437,25.1,No,RB100,1200
Tahj Washington,WR147,WR,MIA,1435,24.8,No,WR145,1224
Will Howard,QB44,QB,PIT,1421,24.5,No,QB39,2093
Jam Miller,RB104,RB,FA,1421,-1.0,Yes,RB103,1171
Malachi Corley,WR148,WR,CLE,1419,24.0,No,WR146,1208
Damien Martinez,RB105,RB,GBP,1409,22.1,No,RB101,1198
Kameron Johnson,WR149,WR,TBB,1402,24.0,No,WR148,1155
Tyler Goodson,RB106,RB,IND,1394,25.3,No,RB107,1112
Geno Smith,QB45,QB,NYJ,1390,35.4,No,QB42,2018
Deion Burks,WR150,WR,FA,1386,-1.0,Yes,WR149,1144
Darren Waller,TE57,TE,MIA,1385,33.5,No,TE57,1199
Elijah Moore,WR151,WR,DEN,1378,26.0,No,WR150,1141
Elijah Higgins,TE58,TE,ARI,1367,25.4,No,TE58,1171
Luke Schoonmaker,TE59,TE,DAL,1362,27.4,No,TE55,1218
J'Mari Taylor,RB107,RB,FA,1360,-1.0,Yes,RB106,1113
Gabriel Davis,WR152,WR,BUF,1323,27.0,No,WR151,1133
Davis Allen,TE60,TE,LAR,1318,25.1,No,TE60,1080
Spencer Rattler,QB46,QB,NOS,1311,25.4,No,QB43,1840
Tyler Badie,RB108,RB,DEN,1297,26.1,No,RB112,1036
Jordan Watkins,WR153,WR,SFO,1296,24.1,No,WR156,1095
Barion Brown,WR154,WR,FA,1295,-1.0,Yes,WR161,1005
Chris Brooks,RB109,RB,GBP,1285,26.2,No,RB109,1067
Jacob Cowing,WR155,WR,SFO,1279,25.1,No,WR152,1132
George Holani,RB110,RB,SEA,1274,26.2,No,RB105,1135
Javon Baker,WR156,WR,SFO,1267,24.1,No,WR155,1103
Jake Bobo,WR157,WR,SEA,1261,27.6,No,WR154,1103
Donovan Edwards,RB111,RB,MIA,1253,23.0,No,RB110,1065
Lil'Jordan Humphrey,WR158,WR,DEN,1246,27.9,No,WR159,1043
Jonathan Mingo,WR159,WR,DAL,1241,24.9,No,WR153,1104
Zach Ertz,TE61,TE,WAS,1239,35.3,No,TE63,1009
Dameon Pierce,RB112,RB,KCC,1236,26.1,No,RB111,1056
Mitchell Evans,TE62,TE,CAR,1233,23.0,No,TE59,1108
Arian Smith,WR160,WR,NYJ,1210,24.4,No,WR160,1040
Brevin Jordan,TE63,TE,HOU,1185,25.6,No,TE64,1008
Israel Abanikanda,RB114,RB,DAL,1175,23.4,No,RB113,1023
Bo Melton,WR161,WR,GBP,1158,26.2,No,WR158,1071
Cade Klubnik,QB47,QB,FA,1157,-1.0,Yes,QB60,1052
Hassan Haskins,RB115,RB,LAC,1157,26.3,No,RB115,1012
Tyler Johnson,WR162,WR,NYJ,1154,27.6,No,WR165,953
Nick Chubb,RB116,RB,HOU,1147,30.2,No,RB116,980
Isaiah Hodgins,WR163,WR,NYG,1147,27.4,No,WR163,975
Mason Tipton,WR164,WR,NOS,1145,25.4,No,WR162,978
Brock Wright,TE64,TE,DET,1141,27.3,No,TE62,1025
Skyy Moore,WR165,WR,GBP,1134,25.5,No,WR164,962
Frank Gore Jr.,RB117,RB,BUF,1130,24.0,No,RB118,946
Jameis Winston,QB48,QB,NYG,1127,32.2,No,QB51,1541
Sione Vaki,RB118,RB,DET,1120,24.6,No,RB114,1019
Terrell Jennings,RB119,RB,NEP,1120,25.0,No,RB119,936
Joe Flacco,QB49,QB,CIN,1085,41.2,No,QB62,1034
Jared Wiley,TE65,TE,KCC,1083,25.4,No,TE65,975
Deuce Vaughn,RB120,RB,DEN,1083,24.4,No,RB117,960
Luke Altmyer,QB50,QB,FA,1080,-1.0,Yes,QB66,887
JuJu Smith-Schuster,WR166,WR,KCC,1079,29.3,No,WR170,902
Riley Leonard,QB51,QB,IND,1075,23.5,No,QB45,1819
Jamari Thrash,WR167,WR,CLE,1072,25.2,No,WR166,949
Nick Westbrook-Ikhine,WR168,WR,FA,1055,29.0,No,WR169,914
Cam Akers,RB121,RB,SEA,1053,26.7,No,RB123,912
Xavier Gipson,WR169,WR,NYG,1043,25.0,No,WR167,943
Marcus Mariota,QB52,QB,WAS,1041,32.4,No,QB50,1543
Jeremy McNichols,RB122,RB,WAS,1032,30.2,No,RB126,896
Curtis Samuel,WR170,WR,FA,1031,29.6,No,WR173,847
Tyler Scott,WR171,WR,LAR,1030,24.4,No,WR168,921
Bub Means,WR172,WR,NOS,1028,25.2,No,WR171,896
Reggie Virgil,WR173,WR,FA,1028,-1.0,Yes,WR177,825
Demarcus Robinson,WR174,WR,SFO,1025,31.5,No,WR172,888
Ty Chandler,RB123,RB,MIN,1024,27.8,No,RB121,918
Samaje Perine,RB124,RB,CIN,1012,30.5,No,RB124,899
Elijah Mitchell,RB125,RB,NEP,1009,27.9,No,RB120,922
Antonio Gibson,RB126,RB,FA,993,27.7,No,RB128,872
Grant Calcaterra,TE66,TE,PHI,992,27.3,No,TE67,882
Jeremy Ruckert,TE67,TE,NYJ,988,25.6,No,TE68,870
Ainias Smith,WR175,WR,CAR,984,24.8,No,WR176,830
Zavier Scott,RB128,RB,MIN,976,26.6,No,RB125,899
Miles Sanders,RB127,RB,DAL,976,28.9,No,RB127,882
DeAndre Hopkins,WR176,WR,BAL,958,33.8,No,WR175,845
Brenden Rice,WR177,WR,LVR,958,24.0,No,WR178,800
Charlie Kolar,TE68,TE,LAC,953,27.1,No,TE66,906
Kirk Cousins,QB53,QB,FA,952,37.6,No,QB47,1793
Jawhar Jordan,RB129,RB,HOU,949,26.6,No,RB122,917
Zamir White,RB130,RB,LVR,932,26.5,No,RB131,780
Khalil Herbert,RB131,RB,NYJ,931,27.9,No,RB130,790
Johnny Wilson,WR178,WR,PHI,930,24.9,No,WR174,847
Will Dissly,TE69,TE,FA,907,29.7,No,TE69,802
Tylan Wallace,WR179,WR,BAL,904,26.8,No,WR179,777
Alexander Mattison,RB132,RB,MIA,904,27.7,No,RB133,773
Kendall Milton,RB133,RB,CIN,897,24.1,No,RB129,824
AJ Dillon,RB134,RB,PHI,893,27.9,No,RB134,757
Julius Chestnut,RB135,RB,TEN,886,25.4,No,RB132,774
Kenny McIntosh,RB136,RB,SEA,883,26.0,No,RB135,723
Mecole Hardman,WR181,WR,BUF,881,28.0,No,WR181,742
Derius Davis,WR182,WR,LAC,880,25.5,No,WR186,695
Zay Jones,WR183,WR,ARI,868,31.0,No,WR180,771
LaJohntay Wester,WR184,WR,BAL,865,24.0,No,WR182,738
Trey Lance,QB54,QB,LAC,831,25.8,No,QB55,1281
Van Jefferson,WR186,WR,TEN,828,29.6,No,WR184,724
Noah Brown,WR187,WR,WAS,825,30.2,No,WR183,728
Josh Oliver,TE71,TE,MIN,810,29.0,No,TE71,720
Tyler Conklin,TE72,TE,LAC,808,30.6,No,TE70,750
Malik Heath,WR189,WR,ATL,794,26.0,No,WR187,693
Jake Browning,QB55,QB,TBB,784,29.9,No,QB67,808
Tim Patrick,WR191,WR,JAC,739,32.3,No,WR185,698
Kenny Pickett,QB56,QB,CAR,691,27.8,No,QB57,1177
Sam Howell,QB57,QB,DAL,674,25.5,No,QB61,1036
Zach Wilson,QB58,QB,MIA,651,26.6,No,QB58,1152
Carson Wentz,QB59,QB,MIN,639,33.2,No,QB71,700
Tyler Huntley,QB60,QB,BAL,613,28.1,No,QB56,1246
Aidan O'Connell,QB61,QB,LVR,527,27.5,No,QB64,959
Will Levis,QB62,QB,TEN,520,26.7,No,QB53,1318
Tanner McKee,QB63,QB,PHI,463,25.9,No,QB54,1308
Mason Rudolph,QB64,QB,PIT,405,30.6,No,QB65,902
Drew Lock,QB65,QB,SEA,403,29.3,No,QB63,970
Gardner Minshew,QB66,QB,ARI,379,29.8,No,QB59,1133
Tyson Bagent,QB78,QB,CHI,260,25.8,No,QB52,1444
Davis Mills,QB79,QB,HOU,257,27.4,No,QB48,1692
Kyle McCord,QB80,QB,GBP,252,23.5,No,QB68,749
Tyrod Taylor,QB82,QB,NYJ,235,36.6,No,QB70,721
Max Brosmer,QB106,QB,MIN,48,25.0,No,QB69,746
