Updated 03/13/26 at 11:32pm,Position Rank,Position,Team,Value,Age,Rookie,SFPosition Rank,SFValue
KC Concepcion,WR34,WR,FA,4600,-1.0,Yes,WR35,3719
Brock Purdy,QB14,QB,SFO,4599,26.2,No,QB13,5934
Jordan Love,QB15,QB,GBP,4593,27.4,No,QB14,5698
Michael Wilson,WR35,WR,ARI,4585,26.0,No,WR34,3743
2027 Early 2nd,,PI,,4569,,,,3793
Ricky Pearsall,WR36,WR,SFO,4544,25.5,No,WR40,3627
Travis Hunter,WR37,WR,JAC,4536,22.8,No,WR38,3638
Kyle Monangai,RB26,RB,CHI,4526,23.8,No,RB26,3629
DK Metcalf,WR38,WR,PIT,4525,28.2,No,WR37,3710
Romeo Doubs,WR39,WR,NEP,4523,25.9,No,WR36,3717
Christian Watson,WR40,WR,GBP,4489,26.8,No,WR39,3631
Davante Adams,WR41,WR,LAR,4471,33.2,No,WR42,3611
D'Andre Swift,RB27,RB,CHI,4470,27.2,No,RB27,3586
Jayden Higgins,WR42,WR,HOU,4455,23.2,No,WR44,3554
Parker Washington,WR43,WR,JAC,4446,24.0,No,WR41,3624
Dak Prescott,QB16,QB,DAL,4439,32.6,No,QB17,5031
Matthew Golden,WR44,WR,GBP,4402,22.6,No,WR43,3611
David Montgomery,RB28,RB,HOU,4397,28.8,No,RB29,3536
Tyler Allgeier,RB29,RB,ARI,4383,25.9,No,RB28,3575
Michael Pittman,WR45,WR,PIT,4312,28.4,No,WR45,3548
2026 Early 2nd,,PI,,4301,,,,3405
Isaiah Likely,TE11,TE,NYG,4296,25.9,No,TE11,3506
Baker Mayfield,QB17,QB,TBB,4294,30.9,No,QB20,4807
Xavier Worthy,WR46,WR,KCC,4215,22.9,No,WR47,3414
Terry McLaurin,WR47,WR,WAS,4201,30.5,No,WR52,3343
Quentin Johnston,WR48,WR,LAC,4176,24.5,No,WR49,3374
Jakobi Meyers,WR49,WR,JAC,4138,29.3,No,WR53,3339
Jake Ferguson,TE12,TE,DAL,4132,27.2,No,TE13,3350
Denzel Boston,WR50,WR,FA,4132,-1.0,Yes,WR54,3267
Dalton Kincaid,TE13,TE,BUF,4124,26.4,No,TE12,3370
Jaylen Warren,RB30,RB,PIT,4124,27.4,No,RB33,3286
Courtland Sutton,WR51,WR,DEN,4097,30.4,No,WR50,3349
Blake Corum,RB31,RB,LAR,4097,25.3,No,RB32,3289
Jayden Reed,WR52,WR,GBP,4096,25.9,No,WR48,3388
2027 Mid 2nd,,PI,,4072,,,,3427
Josh Downs,WR53,WR,IND,4069,24.6,No,WR51,3346
Mike Evans,WR54,WR,SFO,4068,32.6,No,WR46,3421
Chuba Hubbard,RB32,RB,CAR,4031,26.8,No,RB30,3312
C.J. Stroud,QB18,QB,HOU,4025,24.4,No,QB18,4856
Rico Dowdle,RB33,RB,PIT,4012,27.7,No,RB31,3311
George Kittle,TE14,TE,SFO,4008,32.4,No,TE14,3312
Omar Cooper Jr.,WR55,WR,FA,3964,-1.0,Yes,WR55,3165
Cam Ward,QB19,QB,TEN,3950,23.8,No,QB16,5041
Sam Darnold,QB20,QB,SEA,3898,28.8,No,QB19,4836
Jadarian Price,RB34,RB,FA,3884,-1.0,Yes,RB34,3054
Jalen Coker,WR56,WR,CAR,3860,24.4,No,WR57,3150
Khalil Shakir,WR57,WR,BUF,3854,26.1,No,WR60,3032
2028 Early 2nd,,PI,,3851,,,,3064
2026 Mid 2nd,,PI,,3843,,,,3082
Jared Goff,QB21,QB,DET,3816,31.4,No,QB22,4561
Brenton Strange,TE15,TE,JAC,3810,25.2,No,TE15,3113
Jalen McMillan,WR58,WR,TBB,3782,24.3,No,WR56,3152
2027 Late 2nd,,PI,,3779,,,,3127
Troy Franklin,WR59,WR,DEN,3779,23.1,No,WR59,3065
Kayshon Boutte,WR60,WR,NEP,3761,23.8,No,WR61,2932
Trey Benson,RB35,RB,ARI,3758,23.6,No,RB41,2827
Rhamondre Stevenson,RB36,RB,NEP,3691,28.0,No,RB35,2994
Rashid Shaheed,WR61,WR,SEA,3661,27.5,No,WR58,3077
Woody Marks,RB37,RB,HOU,3661,25.2,No,RB38,2869
Mason Taylor,TE16,TE,NYJ,3647,21.8,No,TE16,2898
Jonah Coleman,RB38,RB,FA,3640,-1.0,Yes,RB44,2738
Pat Bryant,WR62,WR,DEN,3632,23.2,No,WR66,2811
Kenneth Gainwell,RB39,RB,TBB,3631,27.0,No,RB37,2918
J.K. Dobbins,RB40,RB,DEN,3610,27.2,No,RB36,2978
2026 Late 2nd,,PI,,3600,,,,2850
2028 Mid 2nd,,PI,,3575,,,,2886
Elic Ayomanor,WR63,WR,TEN,3554,22.8,No,WR65,2830
Jauan Jennings,WR64,WR,SFO,3550,28.7,No,WR62,2903
Bryce Young,QB22,QB,CAR,3534,24.6,No,QB24,4426
Tre Harris,WR65,WR,LAC,3534,24.0,No,WR64,2834
Jonathon Brooks,RB41,RB,CAR,3529,22.6,No,RB40,2841
Jacory Croskey-Merritt,RB42,RB,WAS,3517,24.9,No,RB39,2851
Chris Godwin,WR66,WR,TBB,3513,30.0,No,WR63,2853
Braelon Allen,RB43,RB,NYJ,3512,22.1,No,RB42,2765
AJ Barner,TE17,TE,SEA,3509,23.9,No,TE17,2892
Tory Horton,WR67,WR,SEA,3509,23.3,No,WR71,2747
Isaac TeSlaa,WR68,WR,DET,3503,24.0,No,WR68,2787
Daniel Jones,QB23,QB,IND,3501,28.8,No,QB25,4177
Chimere Dike,WR69,WR,TEN,3494,24.2,No,WR67,2793
Jaylin Noel,WR70,WR,HOU,3490,23.5,No,WR70,2765
Terrance Ferguson,TE18,TE,LAR,3482,23.0,No,TE18,2822
Tyjae Spears,RB44,RB,TEN,3470,24.7,No,RB43,2744
Rachaad White,RB45,RB,TBB,3423,27.2,No,RB45,2687
Matthew Stafford,QB24,QB,LAR,3411,38.1,No,QB27,3667
2028 Late 2nd,,PI,,3392,,,,2738
Kyler Murray,QB25,QB,FA,3387,28.6,No,QB26,3958
Kyle Williams,WR71,WR,NEP,3386,23.3,No,WR73,2679
Jerry Jeudy,WR72,WR,CLE,3383,26.9,No,WR69,2774
Dylan Sampson,RB46,RB,CLE,3380,21.5,No,RB46,2678
Jordan Mason,RB47,RB,MIN,3366,26.8,No,RB48,2664
Tony Pollard,RB48,RB,TEN,3337,28.9,No,RB47,2674
David Njoku,TE19,TE,CLE,3334,29.7,No,TE20,2725
T.J. Hockenson,TE20,TE,MIN,3332,28.7,No,TE21,2720
Adonai Mitchell,WR73,WR,NYJ,3322,23.4,No,WR72,2705
Brandon Aiyuk,WR74,WR,SFO,3317,28.0,No,WR74,2630
Tyrone Tracy,RB49,RB,NYG,3307,26.3,No,RB50,2598
Mark Andrews,TE21,TE,BAL,3299,30.5,No,TE19,2738
Kaleb Johnson,RB50,RB,PIT,3299,22.6,No,RB51,2559
Ollie Gordon,RB51,RB,MIA,3291,22.2,No,RB49,2631
Elijah Arroyo,TE22,TE,SEA,3270,22.9,No,TE23,2608
Marvin Mims,WR75,WR,DEN,3260,24.0,No,WR76,2567
Nicholas Singleton,RB52,RB,FA,3249,-1.0,Yes,RB54,2502
Dallas Goedert,TE23,TE,PHI,3224,31.2,No,TE22,2631
Kimani Vidal,RB53,RB,LAC,3210,24.5,No,RB53,2511
Sean Tucker,RB54,RB,TBB,3189,24.4,No,RB52,2526
Michael Penix Jr.,QB26,QB,ATL,3181,25.8,No,QB28,3139
Eli Stowers,TE24,TE,FA,3164,-1.0,Yes,TE25,2519
Tre Tucker,WR76,WR,LVR,3153,25.0,No,WR78,2521
J.J. McCarthy,QB27,QB,MIN,3151,23.1,No,QB30,2970
